customer_id,recency,frequency,monetary,avg_order_value,avg_items_per_order,days_between_orders,cluster_label,cluster_name
12346,326,1,77183.6,77183.6,74215.0,0.0,1,The Extreme High-Value Buyers
12347,2,7,4310.0,23.681318681318682,13.505494505494505,0.0,0,The Core Customer Base
12348,75,4,1797.24,57.97548387096774,75.51612903225806,0.0,0,The Core Customer Base
12349,19,1,1757.55,24.076027397260273,8.643835616438356,0.0,0,The Core Customer Base
12350,310,1,334.4,19.670588235294115,11.588235294117647,0.0,0,The Core Customer Base
12352,36,8,2506.04,29.482823529411764,6.305882352941176,0.0,0,The Core Customer Base
12353,204,1,89.0,22.25,5.0,0.0,0,The Core Customer Base
12354,232,1,1079.4,18.610344827586207,9.137931034482758,0.0,0,The Core Customer Base
12355,214,1,459.4,35.33846153846154,18.46153846153846,0.0,0,The Core Customer Base
12356,23,3,2811.43,47.65135593220339,26.966101694915253,0.0,0,The Core Customer Base
12357,33,1,6207.67,47.38679389312977,20.671755725190838,0.0,0,The Core Customer Base
12358,2,2,1168.06,61.47684210526315,13.052631578947368,0.0,0,The Core Customer Base
12359,58,4,6372.58,25.695887096774193,6.540322580645161,0.0,0,The Core Customer Base
12360,52,3,2662.06,20.63612403100775,9.031007751937985,0.0,0,The Core Customer Base
12361,287,1,189.9,18.990000000000002,9.1,0.0,0,The Core Customer Base
12362,3,10,5226.23,19.647481203007516,8.3796992481203,0.0,0,The Core Customer Base
12363,110,2,552.0,24.0,17.73913043478261,0.0,0,The Core Customer Base
12364,8,4,1313.1,15.448235294117646,17.71764705882353,0.0,0,The Core Customer Base
12365,291,2,641.38,29.153636363636362,7.909090909090909,0.0,0,The Core Customer Base
12367,4,1,168.9,15.354545454545455,15.727272727272727,0.0,0,The Core Customer Base
12370,51,4,3545.69,21.231676646706585,14.089820359281438,0.0,0,The Core Customer Base
12371,45,2,1887.96,29.96761904761905,9.380952380952381,0.0,0,The Core Customer Base
12372,72,3,1298.04,24.962307692307693,15.26923076923077,0.0,0,The Core Customer Base
12373,311,1,364.6,26.042857142857144,14.071428571428571,0.0,0,The Core Customer Base
12374,25,1,742.9300000000001,22.513030303030305,10.363636363636363,0.0,0,The Core Customer Base
12375,11,2,457.5,26.91176470588235,10.470588235294118,0.0,0,The Core Customer Base
12377,315,2,1628.12,21.144415584415583,12.25974025974026,0.0,0,The Core Customer Base
12378,130,1,4008.62,18.30420091324201,11.547945205479452,0.0,0,The Core Customer Base
12379,82,2,852.24,21.306,10.175,0.0,0,The Core Customer Base
12380,22,4,2724.81,26.200096153846154,10.836538461538462,0.0,0,The Core Customer Base
12381,5,5,1845.31,21.21045977011494,9.28735632183908,0.0,0,The Core Customer Base
12383,185,5,1850.56,18.69252525252525,15.474747474747474,0.0,0,The Core Customer Base
12384,29,2,585.27,21.676666666666666,4.666666666666667,0.0,0,The Core Customer Base
12386,338,2,401.9,40.19,35.4,0.0,0,The Core Customer Base
12388,16,6,2780.66,27.8066,14.62,0.0,0,The Core Customer Base
12390,80,1,549.84,17.1825,11.03125,0.0,0,The Core Customer Base
12391,22,1,460.89,4.6089,3.0,0.0,0,The Core Customer Base
12393,72,4,1582.6000000000001,24.728125000000002,12.75,0.0,0,The Core Customer Base
12394,64,2,1272.48,47.12888888888889,30.333333333333332,0.0,0,The Core Customer Base
12395,19,12,3018.63,19.350192307692307,13.576923076923077,0.0,0,The Core Customer Base
12397,36,2,2409.9,19.126190476190477,10.023809523809524,0.0,0,The Core Customer Base
12398,46,1,1635.66,19.243058823529413,16.4,0.0,0,The Core Customer Base
12399,119,4,1108.65,18.790677966101697,19.966101694915253,0.0,0,The Core Customer Base
12401,303,1,84.3,16.86,2.2,0.0,0,The Core Customer Base
12402,323,1,225.6,20.509090909090908,8.545454545454545,0.0,0,The Core Customer Base
12403,50,1,427.70000000000005,85.54,19.2,0.0,0,The Core Customer Base
12405,149,1,1710.39,31.67388888888889,15.87037037037037,0.0,0,The Core Customer Base
12406,22,2,3415.3,32.52666666666667,17.314285714285713,0.0,0,The Core Customer Base
12407,50,5,1708.12,22.18337662337662,18.38961038961039,0.0,0,The Core Customer Base
12408,33,5,2888.55,27.51,13.41904761904762,0.0,0,The Core Customer Base
12409,79,3,11072.67,101.58412844036697,50.92660550458716,0.0,0,The Core Customer Base
12410,309,2,693.33,26.66653846153846,8.115384615384615,0.0,0,The Core Customer Base
